simulationTime[s],incidentID,districtName,districtSafetyLevel,distanceOfSummonedPatrol[m],City
59767,8eb4cee0-a18b-4b90-880f-5b1c77c52848,Podgórze Duchackie,NotSafe,1.612387190123984,Krakow
59768,c2c54bb7-5857-4bcd-9871-7391454256eb,Bieńczyce,RatherSafe,0.6238101684400132,Krakow
59934,33dea215-7e66-41ae-bc0c-44a01dd11d83,Podgórze Duchackie,NotSafe,2.3360568675632356,Krakow
59999,4a3c2d27-305d-4cc0-8598-06634bf40959,Podgórze Duchackie,NotSafe,2.0603208798185344,Krakow
60361,47604763-705e-4f57-8c35-9f8e21d8328c,Zwierzyniec,RatherSafe,1.54158581075205,Krakow
60361,07d768c0-2db3-4882-bb9b-39d7f229c908,Grzegórzki,RatherSafe,1.1667330250037953,Krakow
60706,5963046f-6256-4955-918f-93eb288e8acc,Zwierzyniec,RatherSafe,4.413900530423741,Krakow
60977,19d2547c-861a-474e-bffa-23f451e3cdb6,Grzegórzki,RatherSafe,0.6184534215232201,Krakow
60978,9e1968c2-8204-42de-9be5-ac25ae86f735,Stare Miasto,NotSafe,0.64331390511901,Krakow
61258,3bb96f31-d57a-48c7-8823-c52a8aab8185,Bronowice,NotSafe,0.4877713425943555,Krakow
61287,bccd1fdd-ee10-46e2-9f82-55a6c170f4fa,Dębniki,NotSafe,3.6227119843252265,Krakow
61288,779d9c6b-57a9-4b75-a736-59bee5275f77,Bronowice,NotSafe,3.043022551832876,Krakow
61371,3cb94cbe-0c75-4783-aaf2-01ee6c8b083d,Nowa Huta,NotSafe,2.0794847453488843,Krakow
61430,906d037c-8f2b-4101-ab1a-259f332863d9,Krowodrza,RatherSafe,1.160195483941055,Krakow
61713,c6cd78c3-7125-4338-9d8f-da7aed7fa883,Stare Miasto,NotSafe,0.485111389092862,Krakow
61850,bbc33278-f26d-48d5-9050-e6c74f9a7195,Dębniki,NotSafe,1.2196112798956456,Krakow
61876,4fa453ee-64a5-43e8-95bc-91babd8f4523,Stare Miasto,NotSafe,1.982114908417397,Krakow
62021,6e548727-f552-4c9e-b2da-88c8089a3527,Grzegórzki,RatherSafe,0.5767441634449925,Krakow
62051,656eae55-7149-4c93-920f-69cbf11d0f34,Dębniki,NotSafe,1.1441858977298447,Krakow
62052,ace42275-9ccb-46e2-b128-1e750fb59297,Podgórze Duchackie,NotSafe,1.198778683308729,Krakow
62079,2676e112-4704-4b93-a2f1-a492d10e665b,Podgórze Duchackie,NotSafe,0.8234191519912838,Krakow
62195,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,0.9694302344907407,Krakow
62196,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,0.3619189055701932,Krakow
62198,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,0.5168751408014035,Krakow
62478,6eae6744-07df-4a49-8aa8-1a709537a7f3,Łagiewniki-Borek Fałęcki,RatherSafe,2.059750589160746,Krakow
62535,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,1.5107647892745022,Krakow
62537,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,2.8500825401280783,Krakow
62667,a6865754-d67a-4574-91c0-27c1cafce0d8,Podgórze Duchackie,NotSafe,0.6797849806638252,Krakow
62695,066f0e99-6943-437e-986c-23e41f8f19cf,Stare Miasto,NotSafe,0.23993870271043014,Krakow
62782,159d10cb-6488-48cf-b3fa-8b3265995250,Zwierzyniec,RatherSafe,0.3185128420102483,Krakow
62860,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,3.5468968574846396,Krakow
62861,1f23d8bc-e070-480c-915f-8da3eb664137,Nowa Huta,NotSafe,2.7262275555223603,Krakow
62893,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,3.532594779282986,Krakow
62894,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,3.5082218429649408,Krakow
62923,976f3262-1b6e-4a4b-996c-ada28396a6eb,Prądnik Czerwony,RatherSafe,1.0978002623674388,Krakow
62949,174d0636-9464-4b55-b3e5-2b6d2380ad85,Podgórze Duchackie,NotSafe,0.5243018343936827,Krakow
63139,591d5bcf-ac94-44f8-b243-314c2146f9a3,Nowa Huta,NotSafe,1.1871136814085803,Krakow
63194,ff423dfc-6ed2-486d-97f1-e01a65706622,Bronowice,NotSafe,1.0116368919312921,Krakow
63246,afc4092b-328e-4657-91db-c9f013aa9beb,Stare Miasto,NotSafe,0.5739853338505185,Krakow
63531,cf15fd27-be6e-406a-b8a9-21dca0a4134d,Stare Miasto,NotSafe,0.727614126816822,Krakow
63532,cf15fd27-be6e-406a-b8a9-21dca0a4134d,Stare Miasto,NotSafe,0.6878861442745252,Krakow
63533,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,2.6309996262898068,Krakow
63534,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,3.2658765980799345,Krakow
63535,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,3.3451449451211643,Krakow
63645,14a2d050-8685-4345-94db-d1b62ef325e5,Prądnik Biały,Safe,3.8927445327977934,Krakow
63784,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,3.373780773390179,Krakow
63866,3aa4b251-e88d-4c3e-b987-aa5f313831a1,Nowa Huta,NotSafe,0.7162574232790124,Krakow
63893,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,3.55317911190632,Krakow
63894,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,2.2695185772833657,Krakow
63896,fd70c265-6192-4ab9-94be-ec21e2aace1b,Stare Miasto,NotSafe,1.9043219753592902,Krakow
63925,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3.286459154264403,Krakow
63926,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3.1281668190001204,Krakow
63927,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3.5733518909585524,Krakow
63929,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,2.5634785146220476,Krakow
64040,0e77e0c5-6f55-4636-b92e-d8202b9d2a18,Nowa Huta,NotSafe,1.0646442983078608,Krakow
64180,7705c76b-ce7f-4384-aa40-1f0a16c6332c,Krowodrza,RatherSafe,2.334191554274209,Krakow
64209,9b8d8b2e-f1c0-4ffc-8afd-e75205032328,Łagiewniki-Borek Fałęcki,RatherSafe,0.2046610816779638,Krakow
64240,a02fcddb-af1d-499d-afb6-3434d3b669e8,Prądnik Czerwony,RatherSafe,2.3204960886560277,Krakow
64459,1bf302be-70f5-4ba7-a405-3ed2c00496e8,Bronowice,NotSafe,4.102117958223851,Krakow
64487,c504f511-7944-49bd-bf80-7ae029893627,Prądnik Biały,Safe,2.6324776203508455,Krakow
64541,b52ea0f4-7a2a-4c19-93d8-36a14f2e892c,Bieżanów-Prokocim,Safe,1.1367536820235509,Krakow
