"amountOfInterventions","amountOfInterventionsPerPatrol","durationOfInterventions[min]","durationOfInterventionsPerPatrol[min]","amountOfFirings","amountOfFiringsPerPatrol","durationOfFirings[min]","durationOfFiringsPerPatrol[min]","amountOfPatrols"
198.0,4.604651162790698,3942.0,91.67441860465117,29.0,0.6744186046511628,1876.0,43.627906976744185,43.0
187.0,3.5961538461538463,3890.0,74.8076923076923,22.0,0.4230769230769231,1530.0,29.423076923076923,52.0
