"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
67790,6f8476dd-9098-4449-9787-775fca9e943b,Zielone,RatherSafe,2,0,8,7,"12785,150301181851",1
68186,c80f96e3-3654-4a31-a5b9-8587c8beafe4,Gumniska-Zab³ocie,NotSafe,2,1,12,12,"21847,373484791402",1
69332,5713e1f3-602c-4b39-9cbb-cb07f6f56c98,Chyszów,NotSafe,2,1,3,3,"1906,6949747254973",1
69681,cab1870f-e5bc-41ea-a961-b83fe86b61b2,Legionów Henryka D¹browskiego,RatherSafe,2,1,4,4,"3442,0771993593453",1
70536,92238e12-7b04-40e8-9e50-4aab9fafeaa0,Gumniska-Zab³ocie,NotSafe,4,1,6,6,"4107,540396165251",1
70956,1f0a7fcf-8358-4f8f-b9e6-136ba077ed3b,Rzêdzin,NotSafe,3,1,6,6,"3962,9808049144904",1
71743,972a1028-710e-4ead-9ce6-fb54146b87a5,Grabówka,NotSafe,3,1,5,5,"4855,250742611611",1
72107,79da1016-69ad-4584-a911-6a7b271b2509,Gumniska-Zab³ocie,NotSafe,4,1,6,6,"11619,595846804925",1
72973,e0b700e4-7217-47bf-ae69-d36c497c4942,Chyszów,NotSafe,3,1,5,5,"3631,762884908076",1
73456,8eee7c92-10d2-42b8-9bf4-ce559a6ba931,Piaskówka,NotSafe,3,1,3,3,"2798,792016624699",1
73752,e14a6670-309f-4500-b2a7-af624a2354f6,Koszyce,RatherSafe,2,1,4,4,"2268,5061189033813",1
75382,4a487ff6-d1fc-4bb3-9302-626f190f82c1,Chyszów,NotSafe,6,1,1,1,"449,3152226039269",1
75383,4a487ff6-d1fc-4bb3-9302-626f190f82c1,Chyszów,NotSafe,6,1,2,1,"1311,3870634874802",1
75395,4a487ff6-d1fc-4bb3-9302-626f190f82c1,Chyszów,NotSafe,6,1,13,11,"34472,57518803317",1
75559,c1e1d7c8-c2f8-4e6c-a537-a648a97f4621,Rzêdzin,NotSafe,4,1,2,2,"1520,6025926741327",1
75560,c1e1d7c8-c2f8-4e6c-a537-a648a97f4621,Rzêdzin,NotSafe,4,1,3,1,"3220,445281217281",1
75747,c2a1aa31-101e-4da9-9171-9a997de274a0,Rzêdzin,NotSafe,5,1,1,1,"1045,6723946916939",1
75751,c2a1aa31-101e-4da9-9171-9a997de274a0,Rzêdzin,NotSafe,5,1,5,4,"8173,70400338129",1
77995,3c1b8a62-3e25-443e-9f38-a348f5e6b786,Rzêdzin,NotSafe,3,1,1,1,"548,6891870648221",1
77996,3c1b8a62-3e25-443e-9f38-a348f5e6b786,Rzêdzin,NotSafe,3,1,2,1,"2342,514870348589",1
78000,2bd29fc5-83ad-480b-a407-84acacb32ce2,Piaskówka,NotSafe,2,1,4,4,"7569,890684040166",1
78477,59468ba8-8144-4417-830d-dc3160563984,Gumniska-Zab³ocie,NotSafe,3,1,4,4,"2988,9618380367187",1
79095,d320457b-fb8b-481d-a309-83416d794165,Chyszów,NotSafe,3,1,1,1,"744,2447801060963",1
79131,d320457b-fb8b-481d-a309-83416d794165,Chyszów,NotSafe,3,1,9,8,"13804,514086386964",1
79752,fc3f3f64-fbeb-4aca-973b-8218fd4cba0b,Gumniska-Zab³ocie,NotSafe,3,1,3,3,"5082,0550267558265",1
79889,836a0107-9650-4d6e-8fbc-4782ff8bf492,Rzêdzin,NotSafe,2,1,3,3,"8962,921342729034",1
81045,31faf968-bfa8-4fae-9eb7-4584fa08f527,Gumniska-Zab³ocie,NotSafe,5,1,2,2,"1523,1170796243048",1
81081,31faf968-bfa8-4fae-9eb7-4584fa08f527,Gumniska-Zab³ocie,NotSafe,5,1,7,5,"9992,342434581436",1
81348,07b8392b-c083-4b16-a618-1f5bbb39ad78,Jasna,Safe,2,1,2,2,"1783,2339539520076",1
81899,1d4902f5-6c93-4c39-ba3f-734819640ba0,Piaskówka,NotSafe,2,1,1,1,"761,8528802816026",1
81950,9000dcfc-ce60-443b-9859-4374ee372e16,Chyszów,NotSafe,4,1,1,1,"752,5638613075093",1
81956,9000dcfc-ce60-443b-9859-4374ee372e16,Chyszów,NotSafe,4,1,7,6,"12055,029674060195",1
82558,63f0917b-2e5e-430f-aa8a-7529ebcc89d9,Grabówka,NotSafe,5,1,4,4,"2384,697254213634",1
82796,9f24e096-4d20-4cf2-bdba-003364a51b77,Grabówka,NotSafe,3,1,1,1,"1141,5854791693275",1
82798,9f24e096-4d20-4cf2-bdba-003364a51b77,Grabówka,NotSafe,3,1,3,2,"4074,1622233600647",1
85775,7b242f40-01d9-4368-adb5-85f1335bb875,Grabówka,NotSafe,6,1,5,5,"3022,4871296410206",1
86217,88566455-51f5-4120-837e-b04057a6de24,Piaskówka,NotSafe,3,1,8,8,"7622,798891209967",1
