"simulationTime[s]","summonedPatrols"
3600,24
7201,55
10802,36
14400,40
18000,46
21600,55
25200,31
28802,32
32400,26
36000,35
39602,31
43200,66
46800,35
50400,48
54002,31
57600,49
61200,78
64801,61
68402,63
72002,60
75602,57
79201,51
82800,60
