"TRANSFER_TO_FIRING","INTERVENTION","RETURNING_TO_HQ","WAITING_FOR_ORDERS"
"2,2,0,0"
"10,10,4,4"
"3,3,4,4"
"2,2,7,7"
"3,3,2,2"
"5,5,5,5"
"2,2,5,5"
"2,2,0,0"
"1,1,3,3"
"2,2,0,0"
"1,1,2,2"
"1,1,1,1"
"0,0,1,1"
"2,2,0,0"
"0,0,1,1"
"1,1,1,1"
"0,0,1,1"
"3,3,0,0"
"1,1,3,3"
"0,0,1,1"
"0,0,0,0"
"0,0,0,0"
"0,0,0,0"
