"simulationTime[s]","patrolState","timeInState[s]"
79781,PATROLLING,86.0
79807,CALCULATING_PATH,26.0
79916,TRANSFER_TO_FIRING,109.0
83652,FIRING,3736.0
83681,PATROLLING,29.0
83707,CALCULATING_PATH,26.0
83889,PATROLLING,182.0
83915,CALCULATING_PATH,26.0
84044,TRANSFER_TO_INTERVENTION,129.0
84695,INTERVENTION,651.0
84721,CALCULATING_PATH,26.0
85173,PATROLLING,452.0
85201,CALCULATING_PATH,28.0
85743,PATROLLING,542.0
85770,CALCULATING_PATH,27.0
85862,PATROLLING,92.0
85888,CALCULATING_PATH,26.0
