"Safe","RatherSafe","NotSafe"
"0,4,0"
"0,4,16"
"0,4,6"
"1,7,5"
"0,6,10"
"1,10,15"
"0,6,2"
"1,0,3"
"0,2,0"
"0,3,5"
"0,6,2"
"0,11,15"
"0,0,9"
"0,0,16"
"0,3,0"
"0,5,7"
"0,3,10"
"3,5,18"
"0,7,12"
"0,2,12"
"0,2,20"
"0,0,16"
"2,0,24"
