"simulationTime[s]","amountOfUsedSwat"
3600,2.0
7200,10.0
10800,6.0
14402,8.0
18000,10.0
21601,12.0
25200,6.0
28802,4.0
32400,2.0
36003,4.0
39600,6.0
43200,12.0
46802,4.0
50400,8.0
54002,2.0
57600,6.0
61200,6.0
64801,14.0
68400,14.0
72003,10.0
75600,12.0
79201,10.0
82800,16.0
