"amountOfInterventions","amountOfInterventionsPerPatrol","durationOfInterventions[min]","durationOfInterventionsPerPatrol[min]","amountOfFirings","amountOfFiringsPerPatrol","durationOfFirings[min]","durationOfFiringsPerPatrol[min]","amountOfPatrols"
231.0,4.914893617021277,4814.0,102.42553191489361,23.0,0.48936170212765956,1565.0,33.297872340425535,47.0
196.0,4.9,4009.0,100.225,18.0,0.45,1175.0,29.375,40.0
