"simulationTime[s]","summonedPatrols"
3601,30
7201,23
10800,44
14402,35
18001,35
21601,39
25200,45
28800,47
32402,41
36000,29
39602,30
43201,23
46800,32
50401,32
54002,34
57600,39
61201,54
64802,50
68400,54
72002,51
75600,40
79201,42
82801,63
