"Safe","RatherSafe","NotSafe"
"0,0,9"
"0,1,0"
"0,0,16"
"0,3,3"
"2,3,3"
"2,2,8"
"0,0,10"
"0,0,26"
"0,8,0"
"0,2,0"
"0,6,5"
"0,4,3"
"0,5,0"
"0,7,0"
"0,0,15"
"1,4,4"
"6,5,18"
"3,4,19"
"0,3,16"
"0,8,23"
"0,0,10"
"0,6,4"
"0,8,17"
