"simulationTime[s]","amountOfUsedSwat"
3604,4.0
7201,2.0
10800,6.0
14402,4.0
18002,8.0
21601,8.0
25200,4.0
28800,10.0
32400,4.0
36000,2.0
39601,6.0
43200,4.0
46800,2.0
50401,4.0
54000,8.0
57602,6.0
61201,14.0
64800,12.0
68400,10.0
72001,18.0
75600,4.0
79200,10.0
82801,16.0
