"simulationTime[s]","amountOfSolvingAmbulances"
3603,2
7200,1
10800,1
14400,4
18002,4
21601,2
25200,4
28800,5
32400,2
36000,2
39601,2
43200,3
46800,1
50401,2
54002,4
57600,3
61201,5
64800,6
68402,5
72000,7
75600,5
79201,5
82801,8
