"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
23463,Mokotów,NotSafe,9c9eb6c3-d343-436b-a384-2fc82d63a6eb,PATROLLING,CALCULATING_PATH,0
23489,Bielany,NotSafe,69a5564d-ed06-415d-9c5b-855dc208a582,TRANSFER_TO_INTERVENTION,INTERVENTION,0
23514,Bia³o³êka,Safe,55077f51-ca63-47c8-9cbf-2d31315e277c,CALCULATING_PATH,PATROLLING,0
23514,Wola,Safe,c2d321a4-c923-48f4-95e6-e98e10c6fd84,INTERVENTION,PATROLLING,0
23517,Mokotów,NotSafe,9c9eb6c3-d343-436b-a384-2fc82d63a6eb,CALCULATING_PATH,PATROLLING,0
23518,¯oliborz,RatherSafe,8d18c9fd-3991-44af-857f-970928100606,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
23570,Wilanów,RatherSafe,2974ed17-7047-490d-ae4b-b095cdb6041d,PATROLLING,TRANSFER_TO_INTERVENTION,0
23571,Wilanów,RatherSafe,2974ed17-7047-490d-ae4b-b095cdb6041d,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
23571,Wola,Safe,c2d321a4-c923-48f4-95e6-e98e10c6fd84,CALCULATING_PATH,PATROLLING,0
23597,Mokotów,NotSafe,5589d1f6-8bf2-488a-ad6a-175b94c459c4,INTERVENTION,PATROLLING,0
23600,Bielany,NotSafe,90c76391-788c-41b3-9c85-8ead5bc23a4c,TRANSFER_TO_INTERVENTION,INTERVENTION,0
23629,Ochota,RatherSafe,f3e69137-0b11-413f-a058-e9aced70ee84,PATROLLING,CALCULATING_PATH,0
23630,Rembertów,RatherSafe,dfd0c2fd-f25f-4862-8963-1584d660c64f,TRANSFER_TO_INTERVENTION,INTERVENTION,0
23630,Wilanów,RatherSafe,2974ed17-7047-490d-ae4b-b095cdb6041d,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
23655,Œródmieœcie,Safe,de9d65a1-4a91-491a-89dd-a5594f725192,PATROLLING,TRANSFER_TO_FIRING,0
23656,Œródmieœcie,Safe,de9d65a1-4a91-491a-89dd-a5594f725192,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23657,Praga-Pó³noc,Safe,068bf31d-c0b7-498e-90e3-93a0f4b30d74,PATROLLING,TRANSFER_TO_FIRING,0
23657,Praga-Pó³noc,Safe,068bf31d-c0b7-498e-90e3-93a0f4b30d74,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23658,Praga-Po³udnie,NotSafe,477364ca-5e61-47a6-bac1-a384b1e1d98d,PATROLLING,TRANSFER_TO_INTERVENTION,0
23658,Praga-Po³udnie,NotSafe,477364ca-5e61-47a6-bac1-a384b1e1d98d,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
23659,Praga-Pó³noc,Safe,f8745932-7be4-456b-ae9f-eb532546cb4d,INTERVENTION,PATROLLING,0
23664,Targówek,NotSafe,9b7e3921-099b-4edb-97e7-4737737cfed3,INTERVENTION,FIRING,0
23690,Mokotów,NotSafe,5589d1f6-8bf2-488a-ad6a-175b94c459c4,CALCULATING_PATH,PATROLLING,0
23691,Ochota,RatherSafe,f3e69137-0b11-413f-a058-e9aced70ee84,CALCULATING_PATH,PATROLLING,0
23718,Wola,Safe,cf1009e8-99d6-41db-89ca-dada80e32f57,PATROLLING,TRANSFER_TO_INTERVENTION,0
23718,Wola,Safe,cf1009e8-99d6-41db-89ca-dada80e32f57,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
23718,Praga-Po³udnie,NotSafe,477364ca-5e61-47a6-bac1-a384b1e1d98d,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
23718,Œródmieœcie,Safe,de9d65a1-4a91-491a-89dd-a5594f725192,CALCULATING_PATH,TRANSFER_TO_FIRING,0
23719,Praga-Pó³noc,Safe,f8745932-7be4-456b-ae9f-eb532546cb4d,CALCULATING_PATH,PATROLLING,0
23719,Praga-Pó³noc,Safe,068bf31d-c0b7-498e-90e3-93a0f4b30d74,CALCULATING_PATH,TRANSFER_TO_FIRING,0
23745,Praga-Pó³noc,Safe,f8745932-7be4-456b-ae9f-eb532546cb4d,PATROLLING,TRANSFER_TO_FIRING,0
23746,Praga-Pó³noc,Safe,f8745932-7be4-456b-ae9f-eb532546cb4d,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23746,Praga-Po³udnie,NotSafe,477364ca-5e61-47a6-bac1-a384b1e1d98d,TRANSFER_TO_INTERVENTION,TRANSFER_TO_FIRING,0
23747,Praga-Po³udnie,NotSafe,477364ca-5e61-47a6-bac1-a384b1e1d98d,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23748,W³ochy,NotSafe,d0c0e5be-049e-4b85-b151-037a1bb34e6b,PATROLLING,TRANSFER_TO_INTERVENTION,0
23748,W³ochy,NotSafe,d0c0e5be-049e-4b85-b151-037a1bb34e6b,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
23775,Wola,Safe,cad744ad-69e3-4bd2-89b0-76eeb3aa8382,PATROLLING,TRANSFER_TO_INTERVENTION,0
23775,Wola,Safe,cad744ad-69e3-4bd2-89b0-76eeb3aa8382,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
23776,Bielany,NotSafe,e22d1bd6-3d49-4fd2-95fc-8c9fd5462945,INTERVENTION,PATROLLING,0
23783,¯oliborz,RatherSafe,c2d321a4-c923-48f4-95e6-e98e10c6fd84,PATROLLING,CALCULATING_PATH,0
23784,Wola,Safe,cf1009e8-99d6-41db-89ca-dada80e32f57,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
23788,Ursynów,Safe,9c9eb6c3-d343-436b-a384-2fc82d63a6eb,PATROLLING,CALCULATING_PATH,0
23789,Praga-Po³udnie,NotSafe,852ac25d-1e54-401a-8fcc-ebcd9851f253,INTERVENTION,PATROLLING,0
23794,W³ochy,NotSafe,d0c0e5be-049e-4b85-b151-037a1bb34e6b,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
23819,Praga-Po³udnie,NotSafe,477364ca-5e61-47a6-bac1-a384b1e1d98d,CALCULATING_PATH,TRANSFER_TO_FIRING,0
23819,Praga-Pó³noc,Safe,f8745932-7be4-456b-ae9f-eb532546cb4d,CALCULATING_PATH,TRANSFER_TO_FIRING,0
23825,Ochota,RatherSafe,f05f644e-9098-4a4f-a710-45a321abe01c,PATROLLING,CALCULATING_PATH,0
23852,Bielany,NotSafe,8d18c9fd-3991-44af-857f-970928100606,TRANSFER_TO_INTERVENTION,TRANSFER_TO_FIRING,0
23853,Bielany,NotSafe,8d18c9fd-3991-44af-857f-970928100606,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23854,Wola,Safe,cad744ad-69e3-4bd2-89b0-76eeb3aa8382,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
23854,Bielany,NotSafe,e22d1bd6-3d49-4fd2-95fc-8c9fd5462945,CALCULATING_PATH,PATROLLING,0
23854,¯oliborz,RatherSafe,c2d321a4-c923-48f4-95e6-e98e10c6fd84,CALCULATING_PATH,PATROLLING,0
23855,Bielany,NotSafe,90c76391-788c-41b3-9c85-8ead5bc23a4c,INTERVENTION,FIRING,0
23855,Praga-Po³udnie,NotSafe,852ac25d-1e54-401a-8fcc-ebcd9851f253,CALCULATING_PATH,PATROLLING,0
23855,W³ochy,NotSafe,d0c0e5be-049e-4b85-b151-037a1bb34e6b,TRANSFER_TO_INTERVENTION,INTERVENTION,0
23881,Bielany,NotSafe,e22d1bd6-3d49-4fd2-95fc-8c9fd5462945,PATROLLING,TRANSFER_TO_FIRING,0
23882,Bielany,NotSafe,e22d1bd6-3d49-4fd2-95fc-8c9fd5462945,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23883,¯oliborz,RatherSafe,c2d321a4-c923-48f4-95e6-e98e10c6fd84,PATROLLING,TRANSFER_TO_FIRING,0
23883,¯oliborz,RatherSafe,c2d321a4-c923-48f4-95e6-e98e10c6fd84,TRANSFER_TO_FIRING,CALCULATING_PATH,0
23888,Wilanów,RatherSafe,494c6d15-425b-46f2-bfcf-13b7b5b55b0e,PATROLLING,CALCULATING_PATH,0
23888,Ursynów,Safe,9c9eb6c3-d343-436b-a384-2fc82d63a6eb,CALCULATING_PATH,PATROLLING,0
23888,Ochota,RatherSafe,f05f644e-9098-4a4f-a710-45a321abe01c,CALCULATING_PATH,PATROLLING,0
23915,Targówek,NotSafe,f8745932-7be4-456b-ae9f-eb532546cb4d,TRANSFER_TO_FIRING,FIRING,0
23915,Bielany,NotSafe,8d18c9fd-3991-44af-857f-970928100606,CALCULATING_PATH,TRANSFER_TO_FIRING,0
23942,Bielany,NotSafe,e22d1bd6-3d49-4fd2-95fc-8c9fd5462945,CALCULATING_PATH,TRANSFER_TO_FIRING,0
23942,Targówek,NotSafe,068bf31d-c0b7-498e-90e3-93a0f4b30d74,TRANSFER_TO_FIRING,FIRING,0
