simulationTime[s],averageTransferToInterventionDuration[s],averageTransferToFiringDuration[s],City,averageTransferToInterventionDuration[min],averageTransferToFiringDuration[min],averageTransferToIncidents[min],simulationTime[s],amountOfInterventions,interventionsDuration[min],averageInterventionDuration[min],amountOfFirings,firingsDuration[min],averageFiringDuration[min],City,firingsDuration[h],interventionsDuration[h],averageFiringDuration[h],averageInterventionDuration[h],amountOfIncidents
3603,159.2962962962963,389.0,Krakow,2.6549382716049386,6.483333333333333,9.138271604938272,3603,27.0,545.0,20.185185185185187,1.0,52.0,52.0,Krakow,0.8666666666666667,9.083333333333334,0.8666666666666667,0.3364197530864198,28.0
7200,152.65384615384616,274.3333333333333,Krakow,2.5442307692307695,4.572222222222222,7.1164529914529915,7201,26.0,564.0,21.692307692307693,6.0,397.0,66.16666666666667,Krakow,6.616666666666666,9.4,1.1027777777777779,0.36153846153846153,32.0
10800,144.53333333333333,325.2,Krakow,2.408888888888889,5.42,7.828888888888889,10800,30.0,615.0,20.5,5.0,378.0,75.6,Krakow,6.3,10.25,1.26,0.3416666666666667,35.0
14400,137.45454545454547,358.5,Krakow,2.290909090909091,5.975,8.26590909090909,14402,22.0,424.0,19.272727272727277,2.0,113.0,56.5,Krakow,1.8833333333333333,7.066666666666666,0.9416666666666667,0.3212121212121213,24.0
18000,118.8846153846154,227.2,Krakow,1.9814102564102567,3.7866666666666666,5.768076923076923,18000,26.0,563.0,21.653846153846157,5.0,340.0,68.0,Krakow,5.666666666666667,9.383333333333333,1.1333333333333333,0.36089743589743595,31.0
21601,101.56521739130434,264.0,Krakow,1.6927536231884057,4.4,6.092753623188406,21601,23.0,455.0,19.782608695652176,1.0,59.0,59.0,Krakow,0.9833333333333333,7.583333333333333,0.9833333333333333,0.32971014492753625,24.0
25200,123.33333333333331,250.5,Krakow,2.0555555555555554,4.175,6.230555555555555,25200,33.0,708.0,21.454545454545453,2.0,153.0,76.5,Krakow,2.55,11.8,1.275,0.35757575757575755,35.0
28800,174.46666666666667,536.0,Krakow,2.907777777777778,8.933333333333334,11.841111111111111,28800,30.0,640.0,21.33333333333333,4.0,312.0,78.0,Krakow,5.2,10.666666666666666,1.3,0.35555555555555546,34.0
32400,130.74074074074073,274.0,Krakow,2.1790123456790123,4.566666666666666,6.745679012345679,32400,27.0,595.0,22.03703703703704,2.0,95.0,47.5,Krakow,1.5833333333333333,9.916666666666666,0.7916666666666666,0.367283950617284,29.0
36000,93.32,236.5,Krakow,1.5553333333333332,3.941666666666667,5.497,36000,25.0,483.0,19.32,2.0,125.0,62.5,Krakow,2.0833333333333335,8.05,1.0416666666666667,0.322,27.0
39600,110.3939393939394,169.66666666666666,Krakow,1.8398989898989901,2.8277777777777775,4.667676767676768,39600,33.0,636.0,19.272727272727277,3.0,185.0,61.66666666666666,Krakow,3.0833333333333335,10.6,1.0277777777777777,0.3212121212121213,36.0
43201,204.16666666666663,284.0,Krakow,3.4027777777777772,4.733333333333333,8.136111111111111,43201,36.0,752.0,20.88888888888889,8.0,564.0,70.5,Krakow,9.4,12.533333333333333,1.175,0.34814814814814815,44.0
46801,212.24,400.0,Krakow,3.5373333333333337,6.666666666666667,10.204,46803,25.0,497.0,19.88,3.0,187.0,62.333333333333336,Krakow,3.1166666666666667,8.283333333333333,1.038888888888889,0.3313333333333333,28.0
50401,104.4516129032258,333.25,Krakow,1.7408602150537633,5.554166666666666,7.29502688172043,50400,31.0,612.0,19.741935483870968,4.0,237.0,59.25,Krakow,3.95,10.2,0.9875,0.32903225806451614,35.0
54000,114.5925925925926,253.66666666666663,Krakow,1.9098765432098765,4.227777777777777,6.137654320987654,54002,27.0,556.0,20.59259259259259,3.0,188.0,62.66666666666666,Krakow,3.1333333333333333,9.266666666666667,1.0444444444444443,0.34320987654320984,30.0
57600,125.0,485.0,Krakow,2.0833333333333335,8.083333333333334,10.166666666666668,57600,21.0,423.0,20.142857142857142,1.0,68.0,68.0,Krakow,1.1333333333333333,7.05,1.1333333333333333,0.3357142857142857,22.0
61200,101.0,216.0,Krakow,1.6833333333333333,3.6,5.283333333333333,61201,21.0,433.0,20.61904761904762,3.0,170.0,56.66666666666666,Krakow,2.8333333333333335,7.216666666666667,0.9444444444444443,0.34365079365079365,24.0
64802,90.21212121212122,372.1428571428572,Krakow,1.5035353535353537,6.202380952380953,7.705916305916308,64802,33.0,751.0,22.75757575757576,7.0,501.0,71.57142857142857,Krakow,8.35,12.516666666666667,1.1928571428571428,0.37929292929292935,40.0
68401,136.14285714285714,239.28571428571428,Krakow,2.269047619047619,3.988095238095238,6.257142857142857,68402,28.0,593.0,21.178571428571427,7.0,499.0,71.28571428571429,Krakow,8.316666666666666,9.883333333333333,1.188095238095238,0.35297619047619044,35.0
72000,144.6206896551724,430.57142857142856,Krakow,2.410344827586207,7.176190476190476,9.586535303776682,72000,29.0,665.0,22.93103448275862,7.0,494.0,70.57142857142857,Krakow,8.233333333333333,11.083333333333334,1.1761904761904762,0.38218390804597696,36.0
75600,243.63888888888889,301.0,Krakow,4.0606481481481485,5.016666666666667,9.077314814814816,75600,36.0,766.0,21.27777777777778,5.0,350.0,70.0,Krakow,5.833333333333333,12.766666666666667,1.1666666666666667,0.35462962962962963,41.0
79202,255.92592592592592,329.5,Krakow,4.265432098765432,5.491666666666666,9.757098765432097,79200,27.0,570.0,21.11111111111111,10.0,719.0,71.9,Krakow,11.983333333333333,9.5,1.1983333333333335,0.35185185185185186,37.0
