"simulationTime[s]","summonedPatrols"
3600,61
7200,112
10804,92
14401,95
18001,92
21601,79
25201,98
28802,104
32400,98
36000,98
39600,86
43201,90
46800,90
50401,85
54001,98
57602,87
61200,111
64802,105
68400,144
72000,81
75600,113
79202,115
82802,97
