"TRANSFER_TO_FIRING","INTERVENTION","RETURNING_TO_HQ","WAITING_FOR_ORDERS"
"8,8,0,0"
"10,10,10,10"
"16,16,10,10"
"8,8,16,16"
"6,6,8,8"
"3,3,2,2"
"8,8,7,7"
"11,11,6,6"
"6,6,13,13"
"3,3,3,3"
"2,2,6,6"
"7,5,0,0"
"0,2,5,5"
"5,5,2,2"
"6,6,5,5"
"0,0,6,6"
"4,4,0,0"
"5,5,4,4"
"6,6,5,5"
"1,1,4,4"
"4,4,3,3"
"1,1,4,4"
"1,1,1,1"
