"amountOfInterventions","amountOfInterventionsPerPatrol","durationOfInterventions[min]","durationOfInterventionsPerPatrol[min]","amountOfFirings","amountOfFiringsPerPatrol","durationOfFirings[min]","durationOfFiringsPerPatrol[min]","amountOfPatrols"
574.0,7.454545454545454,11344.0,147.32467532467533,58.0,0.7532467532467533,3632.0,47.16883116883117,77.0
585.0,7.8,11680.0,155.73333333333332,57.0,0.76,3575.0,47.666666666666664,75.0
