"simulationTime[s]","amountOfUsedSwat"
3600,8.0
7200,14.0
10804,22.0
14401,10.0
18001,12.0
21601,16.0
25201,14.0
28800,20.0
32400,18.0
36000,10.0
39600,12.0
43201,16.0
46800,16.0
50401,12.0
54001,20.0
57602,10.0
61200,16.0
64802,18.0
68400,30.0
72000,10.0
75600,26.0
79202,30.0
82802,24.0
