"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
1238,Vélez Sarsfield,RatherSafe,7902cee5-10e4-4c74-8bf1-0176f96e9601,CALCULATING_PATH,PATROLLING,0
1240,Vélez Sarsfield,RatherSafe,a3004fa2-76cb-40df-acba-4f9b816363f3,CALCULATING_PATH,PATROLLING,0
1241,Vélez Sarsfield,RatherSafe,25d176e8-3332-4258-9c95-7087893807a1,CALCULATING_PATH,PATROLLING,0
1243,Vélez Sarsfield,RatherSafe,a29d7cc5-d84c-44c0-ad03-7dd88b910e9e,CALCULATING_PATH,PATROLLING,0
1243,Vélez Sarsfield,RatherSafe,055de0df-e92d-492e-8fc5-eaac82cad2ac,CALCULATING_PATH,PATROLLING,0
1247,Vélez Sarsfield,RatherSafe,457fb75c-a995-4a4a-a292-9759def67477,CALCULATING_PATH,PATROLLING,0
1254,Vélez Sarsfield,RatherSafe,8d5242a4-fc23-4d2b-8266-9c72160d3a87,CALCULATING_PATH,PATROLLING,0
1255,Vélez Sarsfield,RatherSafe,1a1691f8-c3d2-4be3-b656-3fcc6ede66c0,CALCULATING_PATH,PATROLLING,0
1256,Vélez Sarsfield,RatherSafe,29099abd-0747-4854-8d68-e66263b58297,CALCULATING_PATH,PATROLLING,0
1256,Vélez Sarsfield,RatherSafe,f2ed73aa-bf6c-4dcb-9565-afe289442814,CALCULATING_PATH,PATROLLING,0
1257,Vélez Sarsfield,RatherSafe,4983d0f8-31a7-4aac-99ac-33242d9d8c17,CALCULATING_PATH,PATROLLING,0
1257,Vélez Sarsfield,RatherSafe,ff833c11-9a68-4b02-8b84-6a34e8a3d833,CALCULATING_PATH,PATROLLING,0
1285,Villa General Mitre,Safe,bfe5ccb1-ef25-4acf-8037-99ed36b64d99,PATROLLING,TRANSFER_TO_INTERVENTION,0
1285,Villa General Mitre,Safe,bfe5ccb1-ef25-4acf-8037-99ed36b64d99,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
1286,Monte Castro,RatherSafe,9d046e20-e3e2-47ec-84e3-80b1dea90aad,PATROLLING,TRANSFER_TO_INTERVENTION,0
