"simulationTime[s]","amountOfSolvingAmbulances"
3600,3
7200,7
10803,8
14400,7
18001,7
21600,8
25201,8
28803,8
32400,9
36000,7
39600,5
43201,8
46800,8
50401,5
54001,9
57602,8
61202,7
64800,7
68400,10
72002,8
75600,11
79202,8
82802,16
