"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
76759,0735062d-9a9d-4bb9-b468-42c8ea65d222,Barracas,RatherSafe,"8449,385790408935"
76812,eee5ee26-8f90-4e10-8d28-79f528006d2e,Villa Riachuelo,RatherSafe,"1571,9125329938647"
76812,eee5ee26-8f90-4e10-8d28-79f528006d2e,Villa Riachuelo,RatherSafe,"1571,9125329938647"
76814,f4d588b4-1924-43c5-b8fd-fe47346d6017,Recoleta,RatherSafe,"2930,799504864782"
76815,f4d588b4-1924-43c5-b8fd-fe47346d6017,Recoleta,RatherSafe,"1115,3827661028258"
76873,f4d588b4-1924-43c5-b8fd-fe47346d6017,Recoleta,RatherSafe,"3423,1471739884473"
76904,2d6d87b9-6107-4b02-ad71-189bc14b0d42,Villa Riachuelo,RatherSafe,"7909,490975081477"
76962,4f9cffd0-8913-4c94-8967-8e1426ece385,Versalles,NotSafe,"4551,449099331961"
76989,912113e1-bf50-453d-b74d-f5a2c5391871,Villa Crespo,NotSafe,"2277,736424201417"
77020,c479fbe0-e1b9-4b8b-b559-848464e8d5a5,Villa Riachuelo,RatherSafe,"4701,736749724295"
77072,9c76787c-bc06-45dd-a58c-139e9ab67e92,Villa Devoto,RatherSafe,"3486,4217933623377"
77073,9c76787c-bc06-45dd-a58c-139e9ab67e92,Villa Devoto,RatherSafe,"2549,7697297173413"
77127,db97e65a-4d75-424c-bd5c-84297827fec8,Villa Crespo,NotSafe,"2076,465663847941"
77128,847f7cbf-635a-4ffb-8dfa-769196b0aa76,Retiro,RatherSafe,"2169,8971044329346"
77183,7e2c4280-1e73-4883-9009-b72672198b96,Liniers,RatherSafe,"3191,055154263811"
77210,6e418b60-556b-429b-91d3-eeb52284566d,Villa Pueyrredón,RatherSafe,"6680,960415680836"
77211,85dea863-c767-41b5-9f3e-71a216e05f2a,Parque Chas,RatherSafe,"7574,922309396486"
77212,71bef21c-77c8-4cee-9639-5ba8d8230737,Palermo,RatherSafe,"1174,447575008266"
77214,1ddd92d3-0da8-4c01-864a-8494e6912a4e,San Cristóbal,RatherSafe,"957,8150442977991"
77215,058d7b2f-105c-4666-be62-2d0b7b42dec7,Villa Lugano,RatherSafe,"7982,844280520135"
77276,8761d92c-8ca7-4c30-8a70-28f24586d5ee,Flores,RatherSafe,"7114,505995224821"
77331,f6c193cd-4d05-4004-a606-757fb28a684c,Villa Riachuelo,RatherSafe,"3590,1507753001924"
77331,bbd0b56e-71cd-4102-b545-13524bc63b9d,Saavedra,RatherSafe,"968,1910744947978"
77465,82473e0f-648d-40d5-bf24-ed5c5d5cbdbc,Villa Real,RatherSafe,"4768,207213652896"
77467,86665c39-9a0f-4dcf-9b81-dc3fc59c2b1a,Parque Chacabuco,NotSafe,"4576,919278600188"
77577,f7921b9b-f0ec-4b7d-9601-bb8ee16af9c8,Villa Urquiza,RatherSafe,"2957,3044377974825"
77603,8a5c64c4-071d-4e26-9af2-ad0c6a3f2350,Villa Luro,Safe,"844,508222236317"
77642,9e5788d1-842f-473c-b680-763f77a04dad,Flores,RatherSafe,"3580,5518565798143"
77643,8fedd344-0a11-4363-ac9c-19677d4718ff,Villa Urquiza,RatherSafe,"5423,591414365065"
77785,6169d663-7233-4c71-9e33-8e1a039e5b0e,Parque Chas,RatherSafe,"1128,6851458944702"
77889,328d3929-efa4-4868-8075-836c6cc6e5ac,Barracas,RatherSafe,"5556,443857726275"
77915,82825291-802c-46ab-ab44-6971d1fa3049,Nú?ez,RatherSafe,"3599,32841132413"
77916,6159e46d-f7fd-4091-af98-7126b09d3ffa,Villa Ortúzar,RatherSafe,"2300,426278922033"
77919,912e8d39-ca3a-4aa6-8a95-a5fc3404a2a1,Villa Devoto,RatherSafe,"2138,947436859503"
77920,87ae1bc0-17d8-4be4-ad46-c301effb4fa1,Colegiales,NotSafe,"3554,5596290290505"
78049,8d578289-131a-4f57-bc53-4e5afa74929d,Versalles,NotSafe,"2328,6383930465213"
78050,8d578289-131a-4f57-bc53-4e5afa74929d,Versalles,NotSafe,"3374,126415983236"
78133,d834d910-d749-43cb-9c5b-90e580f0cb91,Villa Crespo,NotSafe,"1779,2868881710795"
78185,4110e2fb-01ef-4bba-ad34-d471d71272ba,Palermo,RatherSafe,"2199,9452673470732"
78212,d34dc973-3d30-47d2-aeb2-a7bafcdec443,Villa Crespo,NotSafe,"1215,8006268843528"
78214,4fee89a2-3867-44ad-950a-8f8970076d5a,Monserrat,RatherSafe,"2365,921514408054"
78240,2861e865-5c2e-4282-908a-5c161161df1b,Parque Patricios,NotSafe,"760,9861632723255"
78279,1b492b29-a4da-485a-b0a7-0c656f02ade4,Liniers,RatherSafe,"5053,675280643269"
78359,bb91d776-6011-4dcb-a29b-7e33bfc0c9e6,Villa Santa Rita,RatherSafe,"2013,4851430453132"
78360,8897498a-8a12-497f-8ac6-da1fef7cd669,Almagro,RatherSafe,"3256,6913794034026"
78429,d8c09235-0bf3-49f2-8b04-f440dc17d3b9,Agronomía,Safe,"2110,783673630607"
78430,8dc8b9d7-9ab2-4922-b326-9bd9b82141c6,La Boca,RatherSafe,"4734,858899344675"
78459,89260845-22a5-4618-b825-ae94b267f30c,Vélez Sarsfield,RatherSafe,"3508,209749369518"
78486,4be13db9-fb99-4e5a-9834-713cf07559e6,Flores,RatherSafe,"1169,532112328642"
78566,9de9f614-d986-4906-8360-23cd94a96589,Coghlan,RatherSafe,"1449,7255006202022"
78671,80915294-5486-4c79-82af-aa97cc6a20e9,Parque Avellaneda,Safe,"5221,656275344481"
78707,fe0ebc89-9259-4932-9409-681c547d68f4,Versalles,NotSafe,"2610,31263062286"
78737,52e8c6ba-345e-4f46-89b4-4b2646798000,Colegiales,NotSafe,"1477,8106486359568"
78738,52e8c6ba-345e-4f46-89b4-4b2646798000,Colegiales,NotSafe,"1772,2691266657614"
78739,52e8c6ba-345e-4f46-89b4-4b2646798000,Colegiales,NotSafe,"1472,8351961502917"
78740,8f306220-ffbf-4202-898d-08414f9e9609,Villa Santa Rita,RatherSafe,"1767,0435500703027"
78771,f5273046-65be-4384-82b3-92378249d4b1,Floresta,RatherSafe,"5082,078966332974"
78799,989cbac4-3036-4d91-8c6a-377452b80fb5,Villa Crespo,NotSafe,"710,4719275655805"
78800,989cbac4-3036-4d91-8c6a-377452b80fb5,Villa Crespo,NotSafe,"378,29853858553037"
78800,9ef328a3-8fd7-4a89-b733-7e52d83d8bd3,Belgrano,Safe,"350,7544570929991"
78830,4be13db9-fb99-4e5a-9834-713cf07559e6,Flores,RatherSafe,"3513,814151876796"
78832,4be13db9-fb99-4e5a-9834-713cf07559e6,Flores,RatherSafe,"3525,357781710347"
78832,4be13db9-fb99-4e5a-9834-713cf07559e6,Flores,RatherSafe,"3528,558484348644"
78833,4be13db9-fb99-4e5a-9834-713cf07559e6,Flores,RatherSafe,"3559,1614281701536"
78895,dd21284c-89ff-4a83-9de3-f50aee580ee5,Colegiales,NotSafe,"2660,3582122636544"
78922,9e333f97-b308-432c-827d-dbd2f9d0e689,Villa General Mitre,Safe,"3188,370833439984"
79004,55559c19-e82c-4e7a-8afe-893e6669ac78,Villa Pueyrredón,RatherSafe,"2725,7031068416413"
79006,0cdff18a-7978-43da-b228-4fdabf4fc89e,Vélez Sarsfield,RatherSafe,"3936,589674273765"
79031,0b1167e1-2b3f-4f28-a270-6cfb8fd4b129,Belgrano,Safe,"1973,5053841922509"
79062,0b1167e1-2b3f-4f28-a270-6cfb8fd4b129,Belgrano,Safe,"3461,973334612308"
79148,9ad63781-d641-44b7-b240-06d917ed7769,Vélez Sarsfield,RatherSafe,"3337,6586474363717"
79148,7afe957c-189c-48f5-a922-4a21ac374ab9,Flores,RatherSafe,"2823,5660309445257"
79233,a8b16972-e4e2-4dff-ab3d-3f341e86accb,Villa Ortúzar,RatherSafe,"951,4772113841759"
79234,fa761ee5-d723-4cf2-8912-08f3537f3d35,Monte Castro,RatherSafe,"5716,661073486848"
79235,3898c91a-7e73-4b53-af5a-ed3bbaf107aa,Palermo,RatherSafe,"2209,6159474867195"
79265,a8b16972-e4e2-4dff-ab3d-3f341e86accb,Villa Ortúzar,RatherSafe,"1061,8837133435743"
79527,b42141d9-e20c-4c9f-8361-6c409935d557,Monserrat,RatherSafe,"1578,7694623824345"
79578,619c76ca-dd3f-4b19-a901-8ea8c4ca465c,Belgrano,Safe,"2034,7691526236247"
79579,0c049f6c-b439-4bcb-8123-b000648eb01e,Colegiales,NotSafe,"3052,7377995034904"
79604,9ade5b1c-f78a-4016-9fec-28cf0fce8e15,Belgrano,Safe,"1496,1710961463684"
79729,17c1777d-ccb1-429e-8f7a-91dbd13aeb0f,Colegiales,NotSafe,"1610,9636312261125"
79809,28ff46cb-0908-46b6-9b2e-41f1d9fae4c3,Balvanera,RatherSafe,"845,94094837687"
79810,8b3aa4c5-2b96-4568-bffa-c0173edb78d9,Coghlan,RatherSafe,"3194,2627112490627"
79836,4094023f-8f34-4220-b32e-a0a92fd31df8,Versalles,NotSafe,"3517,698897545762"
79837,e6799bdb-b798-491b-a62f-226cd6ff4312,Chacarita,RatherSafe,"1866,0035616616012"
79927,b628c7dc-933d-4cfc-9766-01393bdf9b31,Villa del Parque,NotSafe,"2010,0647274100836"
