"simulationTime[s]","amountOfUsedSwat"
3600,0.0
7200,6.0
10801,20.0
14401,10.0
18002,4.0
21601,8.0
25200,6.0
28801,6.0
32400,2.0
36000,10.0
39600,4.0
43201,8.0
46800,8.0
50400,4.0
54001,4.0
57600,8.0
61200,12.0
64802,16.0
68400,10.0
72000,20.0
75601,20.0
79200,20.0
82800,6.0
