"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
42018,8a20b9df-0fee-41bd-a6fa-df3f24cb3ea1,Brigittenau,NotSafe,"916,8048710538117"
42423,48f7a413-cc49-4c3b-9c5f-c757cd38d148,Floridsdorf,NotSafe,"1591,9602240567121"
42424,48f7a413-cc49-4c3b-9c5f-c757cd38d148,Floridsdorf,NotSafe,"1591,9602240567121"
42426,48f7a413-cc49-4c3b-9c5f-c757cd38d148,Floridsdorf,NotSafe,"1591,9602240567121"
42427,64bd614b-0565-4888-9d60-9e657d392532,Alsergrund,NotSafe,"669,5199699728928"
42485,db3f413a-0479-4d5e-b2fd-b79ac8abf78d,Währing,RatherSafe,"3904,0046964810936"
42649,76516bed-7280-41a2-8751-ced34a6fd358,Liesing,RatherSafe,"2166,1348779204727"
42679,7b0d873c-d950-4785-b210-1ee3efad20d1,Floridsdorf,NotSafe,"1119,0201188875253"
42791,64977acd-671a-40a4-9d53-79ef9f2ccfd7,Margareten,RatherSafe,"975,6519478553339"
42818,e5c195e8-4008-435d-9d11-fe01d40537e2,Neubau,RatherSafe,"2126,7533624303765"
42844,f32af940-21b2-4748-98d9-6aaff04f4083,Brigittenau,NotSafe,"1543,5043987673453"
43194,02ade204-9656-4437-b756-32dbe07272e7,Margareten,RatherSafe,"1436,2569459950691"
43246,b22d1a70-1a3f-4daa-a095-1d1a45feedb2,Brigittenau,NotSafe,"2003,0460000050248"
43296,c6f23fc3-bbd4-41f8-935a-980114d774aa,Hernals,RatherSafe,"1229,8999034357241"
43424,441677eb-c69d-4ee9-9c69-374163bde168,Währing,RatherSafe,"1273,679542977127"
43449,25ed91dd-e21a-490f-a18e-dd90e84752b7,Döbling,RatherSafe,"3293,2518201354637"
43537,4f40fc83-263f-4c29-8ece-06d7622c3623,Leopoldstadt,Safe,"653,6989508400925"
43619,bc418dce-1643-4bad-b47d-1540e55070d0,Josefstadt,NotSafe,"3423,0770459299524"
43732,e07be39f-e996-4ab4-90b4-e72fe96c7671,Penzing,NotSafe,"2907,359864796118"
43783,b2140d57-b81f-4431-a190-72eb78d403de,Floridsdorf,NotSafe,"3586,7499276681046"
43983,b651573b-81fc-48be-bc46-0f15c3e7e363,Hernals,RatherSafe,"1399,0794755937382"
44012,56a4211a-8fd6-45e9-9700-4d4959aafda9,Floridsdorf,NotSafe,"3338,866916757978"
44013,eef67a97-693e-4368-b057-60ced8cbe1e0,Donaustadt,RatherSafe,"5263,952086815728"
44069,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,"168,37535186631501"
44071,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,"2785,5002960119014"
44072,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,"3358,715033646699"
44073,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,"2759,640254641776"
44075,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,"3575,779605927759"
44076,c2d58212-792f-4270-b5ed-fe43cbc06d15,Brigittenau,NotSafe,"3581,744449489562"
44103,56a4211a-8fd6-45e9-9700-4d4959aafda9,Floridsdorf,NotSafe,"3595,907903569392"
