"TRANSFER_TO_FIRING","INTERVENTION","RETURNING_TO_HQ","WAITING_FOR_ORDERS"
"0,0,0,0"
"6,6,0,0"
"16,16,5,5"
"3,3,17,17"
"6,6,6,6"
"2,2,5,5"
"3,3,0,0"
"0,0,3,3"
"0,0,0,0"
"2,2,1,1"
"0,0,0,0"
"0,0,1,1"
"1,1,0,0"
"2,2,1,1"
"2,2,2,2"
"4,4,4,4"
"0,0,2,2"
"1,1,0,0"
"1,1,1,1"
"3,3,1,1"
"4,4,4,4"
"0,0,3,3"
"0,0,0,0"
