"Safe","RatherSafe","NotSafe"
"0,0,0"
"0,8,6"
"4,14,21"
"0,6,12"
"0,7,0"
"0,7,8"
"0,6,4"
"0,10,3"
"0,2,0"
"0,2,17"
"0,2,3"
"0,5,15"
"0,0,19"
"1,2,0"
"0,4,5"
"1,5,4"
"2,10,6"
"0,5,22"
"0,10,4"
"0,17,21"
"2,14,21"
"0,12,23"
"0,5,10"
