"simulationTime[s]","summonedPatrols"
3603,30
7200,35
10800,69
14403,50
18012,43
21602,51
25200,44
28800,50
32400,36
36000,53
39600,38
43201,42
46800,60
50400,38
54001,39
57601,47
61201,56
64800,71
68401,52
72000,61
75601,65
79205,73
82800,56
