"simulationTime[s]","amountOfSolvingAmbulances"
3602,0
7200,1
10801,8
14401,8
18000,3
21600,3
25200,4
28801,3
32400,1
36000,4
39601,3
43201,3
46800,5
50400,2
54001,2
57601,4
61201,6
64800,7
68401,4
72000,9
75601,7
79204,9
82802,11
