"simulationTime[s]","amountOfSolvingAmbulances"
3600,0
7200,4
10803,4
14401,7
18002,10
21604,9
25202,8
28802,14
32406,11
36000,12
39602,14
43201,11
46802,8
50401,9
54001,7
57601,11
61200,9
64801,16
68400,16
72001,13
75602,13
79200,13
82801,14
