"Safe","RatherSafe","NotSafe"
"0,0,0"
"0,13,27"
"0,20,10"
"2,40,8"
"0,19,5"
"0,25,28"
"7,30,9"
"0,47,30"
"0,35,18"
"0,32,9"
"0,28,0"
"0,30,15"
"0,13,9"
"0,31,10"
"1,28,5"
"0,36,29"
"3,36,29"
"2,35,19"
"0,42,22"
"1,21,26"
"4,44,15"
"4,16,27"
"0,26,17"
