"simulationTime[s]","summonedPatrols"
3600,48
7201,111
10809,115
14402,177
18024,172
21622,170
25212,171
28800,220
32411,189
36001,178
39612,149
43201,127
46802,114
50400,177
54001,140
57600,193
61209,183
64801,154
68401,160
72001,155
75602,165
79200,154
82809,144
