"simulationTime[s]","averageDistanceToReach[m]","averageTimeToReach[s]"
3600,0.0,0.0
7200,1151.8,41.75
10808,1897.0,68.1875
14401,3295.0714285714284,117.92857142857143
18024,6853.0,241.92857142857142
21622,3777.294117647059,129.44117647058823
25212,3212.0,113.0
28800,2468.4285714285716,80.57142857142857
32410,1782.34375,58.15625
36000,1626.0384615384614,52.26923076923077
39602,4258.125,139.875
43200,2024.8636363636363,69.5909090909091
46802,3067.2,110.5
50401,602.5416666666666,19.291666666666668
54001,1447.590909090909,48.31818181818182
57601,347.05882352941177,10.794117647058824
61209,344.1666666666667,10.904761904761905
64800,1086.2941176470588,37.794117647058826
68401,706.5833333333334,24.944444444444443
72001,463.0,14.46875
75602,397.6904761904762,11.785714285714286
79200,167.23076923076923,4.884615384615385
82808,138.15625,4.28125
