simulationTime[s],patrolState,timeInState[s],City
62451,CALCULATING_PATH,29.0,Krakow
63618,PATROLLING,1167.0,Krakow
63644,CALCULATING_PATH,26.0,Krakow
64515,PATROLLING,871.0,Krakow
64540,CALCULATING_PATH,25.0,Krakow
65045,PATROLLING,505.0,Krakow
65075,CALCULATING_PATH,30.0,Krakow
65262,TRANSFER_TO_INTERVENTION,187.0,Krakow
66791,INTERVENTION,1529.0,Krakow
66818,CALCULATING_PATH,27.0,Krakow
67559,PATROLLING,741.0,Krakow
67613,CALCULATING_PATH,54.0,Krakow
68927,PATROLLING,1314.0,Krakow
68952,CALCULATING_PATH,25.0,Krakow
69528,PATROLLING,576.0,Krakow
69554,CALCULATING_PATH,26.0,Krakow
69743,TRANSFER_TO_INTERVENTION,189.0,Krakow
69770,CALCULATING_PATH,27.0,Krakow
70050,TRANSFER_TO_FIRING,280.0,Krakow
75193,FIRING,5143.0,Krakow
75227,PATROLLING,34.0,Krakow
75254,CALCULATING_PATH,27.0,Krakow
76302,RETURNING_TO_HQ,1048.0,Krakow
76332,PATROLLING,30.0,Krakow
76358,CALCULATING_PATH,26.0,Krakow
76890,TRANSFER_TO_INTERVENTION,532.0,Krakow
76918,CALCULATING_PATH,28.0,Krakow
77052,TRANSFER_TO_FIRING,134.0,Krakow
82120,FIRING,5068.0,Krakow
82153,PATROLLING,33.0,Krakow
82182,CALCULATING_PATH,29.0,Krakow
82483,RETURNING_TO_HQ,301.0,Krakow
82516,PATROLLING,33.0,Krakow
82546,CALCULATING_PATH,30.0,Krakow
82760,RETURNING_TO_HQ,214.0,Krakow
83785,FIRING,1025.0,Krakow
83820,PATROLLING,35.0,Krakow
83850,CALCULATING_PATH,30.0,Krakow
84643,PATROLLING,793.0,Krakow
84668,CALCULATING_PATH,25.0,Krakow
84810,TRANSFER_TO_INTERVENTION,142.0,Krakow
85858,INTERVENTION,1048.0,Krakow
85888,CALCULATING_PATH,30.0,Krakow
86296,PATROLLING,408.0,Krakow
86322,CALCULATING_PATH,26.0,Krakow
