simulationTime[s],districtName,districtSafetyLevel,patrolID,previousPatrolState,currentPatrolState,isNight,City
1044,Czyżyny,RatherSafe,896e6712-1cf8-42c3-9420-c7c9898f0064,CALCULATING_PATH,PATROLLING,0,Krakow
1136,Podgórze,Safe,37cdec9e-5da6-42ec-8ca9-f71fadea613c,CALCULATING_PATH,PATROLLING,0,Krakow
1201,Bieżanów-Prokocim,Safe,d11bb202-b805-45fd-9c74-ba56305be21d,CALCULATING_PATH,PATROLLING,0,Krakow
1201,Podgórze,Safe,4eaaf778-b95d-4346-ab31-5b37c7a15138,CALCULATING_PATH,PATROLLING,0,Krakow
1201,Grzegórzki,RatherSafe,9c9338c5-0c47-43dc-b113-526a9423fc47,CALCULATING_PATH,PATROLLING,0,Krakow
1236,Stare Miasto,NotSafe,08c063ea-9a24-4b1b-9f8c-681b24c323b1,CALCULATING_PATH,PATROLLING,0,Krakow
1270,Dębniki,NotSafe,4503c5e1-3fc3-449d-96d4-50d16cbd17e4,CALCULATING_PATH,PATROLLING,0,Krakow
1271,Dębniki,NotSafe,da03da70-3934-4801-b5d6-b5d1c12da186,CALCULATING_PATH,PATROLLING,0,Krakow
1271,Łagiewniki-Borek Fałęcki,RatherSafe,02298415-119d-42a7-bffb-c9f8b1fb9e90,CALCULATING_PATH,PATROLLING,0,Krakow
1325,Mistrzejowice,RatherSafe,95087aa5-54c7-417f-9b04-df185da104f2,CALCULATING_PATH,PATROLLING,0,Krakow
1353,Krowodrza,RatherSafe,abb45e82-4c9f-4f0c-9314-6c16b1bc4372,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
1353,Krowodrza,RatherSafe,2af3248f-e4de-40db-be99-ddd38df145af,CALCULATING_PATH,PATROLLING,0,Krakow
1353,Dębniki,NotSafe,a8d717f8-eceb-410b-bb04-0c7ad48b536d,CALCULATING_PATH,PATROLLING,0,Krakow
1354,Bieżanów-Prokocim,Safe,d11bb202-b805-45fd-9c74-ba56305be21d,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
1407,Krowodrza,RatherSafe,6558fe54-f450-4dda-ae85-6b559ad63cb3,CALCULATING_PATH,PATROLLING,0,Krakow
1415,Dębniki,NotSafe,ba479292-648c-4561-b4f5-83177583664d,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0,Krakow
1420,Bieżanów-Prokocim,Safe,c9739aa1-c047-45bb-ab37-d709dce9162f,CALCULATING_PATH,PATROLLING,0,Krakow
