simulationTime[s],districtName,districtSafetyLevel,patrolID,previousPatrolState,currentPatrolState,isNight,City
7940,Zwierzyniec,RatherSafe,cd57428c-38fd-4738-b584-8e6686ac8978,PATROLLING,CALCULATING_PATH,0,Krakow
7967,Mistrzejowice,RatherSafe,02298415-119d-42a7-bffb-c9f8b1fb9e90,PATROLLING,CALCULATING_PATH,0,Krakow
7994,Zwierzyniec,RatherSafe,ba479292-648c-4561-b4f5-83177583664d,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8020,Krowodrza,RatherSafe,579221d3-996e-40d5-a7e9-1efd0b66d5e0,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8051,Łagiewniki-Borek Fałęcki,RatherSafe,d60f2e1d-c8c5-4602-b05f-c4b509c769e5,PATROLLING,CALCULATING_PATH,0,Krakow
8054,Grzegórzki,RatherSafe,896e6712-1cf8-42c3-9420-c7c9898f0064,PATROLLING,CALCULATING_PATH,0,Krakow
8056,Stare Miasto,NotSafe,9c9338c5-0c47-43dc-b113-526a9423fc47,PATROLLING,CALCULATING_PATH,0,Krakow
8086,Stare Miasto,NotSafe,1174994b-b2ef-4b1c-83e9-852a355c568e,PATROLLING,CALCULATING_PATH,0,Krakow
8190,Nowa Huta,NotSafe,a8d717f8-eceb-410b-bb04-0c7ad48b536d,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8218,Krowodrza,RatherSafe,d48896fe-9666-40aa-8abf-380f299f72a9,PATROLLING,CALCULATING_PATH,0,Krakow
8244,Krowodrza,RatherSafe,6b3ac9f9-4927-4210-bab0-565f840fe5a1,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8272,Prądnik Czerwony,RatherSafe,59f07192-d91d-4ffa-8a3f-9c554bb5ec99,PATROLLING,CALCULATING_PATH,0,Krakow
8298,Prądnik Czerwony,RatherSafe,6558fe54-f450-4dda-ae85-6b559ad63cb3,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8328,Swoszowice,Safe,9ab97c9d-f6cd-4ae1-8df7-a849f5f1ae85,PATROLLING,CALCULATING_PATH,0,Krakow
8354,Prądnik Czerwony,RatherSafe,9c9338c5-0c47-43dc-b113-526a9423fc47,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8408,Dębniki,NotSafe,80697794-57db-4045-854f-c4698a2b91f6,PATROLLING,CALCULATING_PATH,0,Krakow
8434,Grzegórzki,RatherSafe,02298415-119d-42a7-bffb-c9f8b1fb9e90,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8438,Swoszowice,Safe,2af3248f-e4de-40db-be99-ddd38df145af,PATROLLING,CALCULATING_PATH,0,Krakow
8494,Dębniki,NotSafe,80697794-57db-4045-854f-c4698a2b91f6,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8495,Podgórze,Safe,4eaaf778-b95d-4346-ab31-5b37c7a15138,PATROLLING,TRANSFER_TO_INTERVENTION,0,Krakow
8498,Dębniki,NotSafe,5b066d67-bc10-4ef6-b685-ed5c2a10e7cf,PATROLLING,CALCULATING_PATH,0,Krakow
8555,Zwierzyniec,RatherSafe,4503c5e1-3fc3-449d-96d4-50d16cbd17e4,PATROLLING,CALCULATING_PATH,0,Krakow
8556,Zwierzyniec,RatherSafe,25f36c19-b359-4d40-81c4-1bc086aafedf,PATROLLING,CALCULATING_PATH,0,Krakow
8558,Zwierzyniec,RatherSafe,9fd7200d-9abc-47dc-9fd4-bc16a02cdd8a,PATROLLING,CALCULATING_PATH,0,Krakow
8561,Zwierzyniec,RatherSafe,95087aa5-54c7-417f-9b04-df185da104f2,PATROLLING,CALCULATING_PATH,0,Krakow
8589,Nowa Huta,NotSafe,d11bb202-b805-45fd-9c74-ba56305be21d,PATROLLING,CALCULATING_PATH,0,Krakow
8617,Dębniki,NotSafe,c896af8b-1186-48f4-a835-de004326d556,PATROLLING,CALCULATING_PATH,0,Krakow
8620,Bronowice,NotSafe,fb69b374-1875-4215-b1bf-aa83809a09bf,PATROLLING,CALCULATING_PATH,0,Krakow
8624,Prądnik Biały,Safe,d48896fe-9666-40aa-8abf-380f299f72a9,PATROLLING,CALCULATING_PATH,0,Krakow
8650,Bronowice,NotSafe,abb45e82-4c9f-4f0c-9314-6c16b1bc4372,PATROLLING,TRANSFER_TO_FIRING,0,Krakow
8650,Zwierzyniec,RatherSafe,4503c5e1-3fc3-449d-96d4-50d16cbd17e4,PATROLLING,TRANSFER_TO_FIRING,0,Krakow
8651,Zwierzyniec,RatherSafe,25f36c19-b359-4d40-81c4-1bc086aafedf,PATROLLING,TRANSFER_TO_FIRING,0,Krakow
8653,Zwierzyniec,RatherSafe,9fd7200d-9abc-47dc-9fd4-bc16a02cdd8a,PATROLLING,TRANSFER_TO_FIRING,0,Krakow
