"Safe","RatherSafe","NotSafe"
"0,6,0"
"0,6,12"
"0,2,17"
"0,7,0"
"0,4,9"
"0,3,0"
"0,5,6"
"0,0,21"
"0,8,0"
"3,0,5"
"0,6,3"
"0,17,17"
"0,5,3"
"3,6,3"
"0,4,4"
"0,5,0"
"3,2,6"
"0,7,19"
"3,0,24"
"0,7,18"
"0,9,9"
"0,7,28"
"4,0,0"
