"simulationTime[s]","amountOfSolvingAmbulances"
3601,0
7200,7
10800,6
14403,2
18000,3
21601,3
25200,2
28800,3
32402,2
36000,2
39600,4
43201,6
46801,3
50401,5
54002,3
57600,2
61201,2
64802,7
68400,4
72000,7
75600,6
79200,11
82802,3
