"simulationTime[s]","amountOfUsedSwat"
3601,2.0
7200,11.0
10800,10.0
14401,4.0
18000,10.0
21601,2.0
25200,4.0
28802,8.0
32400,4.0
36000,4.0
39600,6.0
43201,16.0
46804,6.0
50400,8.0
54002,6.0
57600,2.0
61200,6.0
64802,14.0
68401,14.0
72000,14.0
75600,10.0
79202,20.0
82800,2.0
