"simulationTime[s]","firingID","districtName","districtSafetyLevel","distanceOfSummonedAmbulance[m]","timeToReachFiring[s]"
52065,01ae6a96-56f6-4bdf-a99b-4e748ef84920,Zwierzyniec,RatherSafe,"17774,379291184312",799.8470681032941
52687,4a6647b5-b57d-462f-8ae0-eb4f46059bd8,Mistrzejowice,RatherSafe,"11242,847335627153",505.9281301032219
53826,83671684-25c4-41cd-b245-337f5225148f,Bronowice,NotSafe,"17382,981899013736",782.2341854556181
56125,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,"9989,195564697144",449.5138004113715
58982,4452a90b-ca4e-46fa-899e-7556b687d902,Bie¿anów-Prokocim,Safe,"9256,513782350195",416.54312020575884
59593,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,"13086,833119588018",588.9074903814609
60978,19d2547c-861a-474e-bffa-23f451e3cdb6,Grzegórzki,RatherSafe,"13423,74308872869",604.0684389927911
62198,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,"13809,740825657118",621.4383371545704
62508,d94522c9-214e-4136-b896-c523a535ef08,Dêbniki,NotSafe,"20183,10586409203",908.2397638841414
62861,1f23d8bc-e070-480c-915f-8da3eb664137,Nowa Huta,NotSafe,"2666,7482916472395",120.00367312412578
63536,cf15fd27-be6e-406a-b8a9-21dca0a4134d,Stare Miasto,NotSafe,"14860,681395952368",668.7306628178566
63536,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,"17747,0694644881",798.6181259019645
63896,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,"13324,607403844879",599.6073331730196
64798,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,"16693,754604590205",751.2189572065593
65396,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,"8212,683284430293",369.57074779936323
66548,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,"13403,246076753718",603.1460734539173
67077,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,"14847,321850441269",668.1294832698571
68240,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzes³awickie,Safe,"4337,534472939429",195.1890512822743
68738,12e1470a-a3f6-44d5-8f74-40e616db913b,Stare Miasto,NotSafe,"14217,710937196469",639.7969921738411
69211,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,"2676,6495318495745",120.44922893323086
69931,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,"7417,587772985656",333.79144978435454
70193,03939618-53ea-4b8b-9795-aa76645b0211,Zwierzyniec,RatherSafe,"22053,87441320088",992.4243485940397
71125,f5d29b49-2fa7-482d-a74d-0385cda1921c,Nowa Huta,NotSafe,"7505,35128736813",337.7408079315659
71441,3e845c44-a286-49bd-bf16-a814a9ec4521,Nowa Huta,NotSafe,"2192,9663057790117",98.68348376005552
71442,52dcb753-c00b-46ea-b180-9468a7c7c966,Nowa Huta,NotSafe,"4500,238565799929",202.51073546099684
71980,3a7082c5-4c05-4a4f-928c-faa01f1665b2,Dêbniki,NotSafe,"19928,22799260868",896.7702596673906
72464,4293caf7-22c5-4e05-ba9e-9397982bc9e0,Zwierzyniec,RatherSafe,"20390,059306235325",917.5526687805897
73679,7d836ef7-eae3-499b-8913-3f557748d26d,Bronowice,NotSafe,"20060,547688203147",902.7246459691416
74421,3c1d5ac6-5017-4c0c-bd63-14f8ca57d6c5,Mistrzejowice,RatherSafe,"8890,2978875631",400.0634049403395
