"amountOfInterventions","amountOfInterventionsPerPatrol","durationOfInterventions[min]","durationOfInterventionsPerPatrol[min]","amountOfFirings","amountOfFiringsPerPatrol","durationOfFirings[min]","durationOfFiringsPerPatrol[min]","amountOfPatrols"
217.0,4.428571428571429,4514.0,92.12244897959184,26.0,0.5306122448979592,1804.0,36.816326530612244,49.0
225.0,4.591836734693878,4554.0,92.93877551020408,26.0,0.5306122448979592,1649.0,33.6530612244898,49.0
