simulationTime[s],firingID,districtName,districtSafetyLevel,generallyRequiredPatrols,solvingPatrols,reachingPatrols(including 'called'),calledPatrols,totalDistanceOfCalledPatrols,isNight,City,simulationTime[h]
24079,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,2,2,1.1151837260622028,0,Krakow,6.688611111111111
24081,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,3,1,2.882530500933435,0,Krakow,6.689166666666667
24111,1c8666d2-38ff-483a-98cf-1b62a72d7706,Grzegórzki,RatherSafe,5,1,4,1,1.6716125476854466,0,Krakow,6.6975
25218,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,1,2,2,5.1774300685970776,0,Krakow,7.005
25220,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,1,3,1,2.9980123281360505,0,Krakow,7.0055555555555555
25465,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,4,1,1,3.49530758705992,0,Krakow,7.073611111111111
25466,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,1,1,1.1845904175757658,0,Krakow,7.073888888888889
25467,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,2,1,2.2904476495470396,0,Krakow,7.074166666666667
25471,ddacae0e-c720-4fb8-b31a-d59db50ef942,Dębniki,NotSafe,6,1,5,3,9.385680517622264,0,Krakow,7.075277777777778
25498,89d1e3ef-97cb-4c17-ad6f-6fcc9b8f4501,Bronowice,NotSafe,6,4,2,1,3.470226360261968,0,Krakow,7.082777777777777
25829,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,5,1,1,1,2.0555601448135534,0,Krakow,7.174722222222222
25832,fec48ef6-9241-4faf-b6b2-ff72b3f23ade,Podgórze Duchackie,NotSafe,5,1,4,3,9.125322031137673,0,Krakow,7.1755555555555555
27911,be5adf17-fffd-42ef-96a6-902b4b266449,Bronowice,NotSafe,4,1,3,3,8.63471475618664,0,Krakow,7.753055555555555
29657,26589b80-fa78-45f6-a9ff-08e1b0a3b07f,Prądnik Czerwony,RatherSafe,4,1,3,3,5.984339353096652,0,Krakow,8.238055555555556
32265,186151cf-94a2-4169-863c-92ca84b82fe7,Łagiewniki-Borek Fałęcki,RatherSafe,4,1,3,3,6.262287579332316,0,Krakow,8.9625
32460,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,1,1,0.9466344053409789,0,Krakow,9.016666666666667
32461,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,2,1,1.5040279152974512,0,Krakow,9.016944444444444
32464,d788a58f-44f3-40d8-9f29-3da99cc6afa5,Nowa Huta,NotSafe,5,1,4,2,6.808753118952852,0,Krakow,9.017777777777777
35316,219a9e34-c9ad-4851-ac52-610d8cda41ac,Podgórze,Safe,3,1,2,2,1.3339013985981325,0,Krakow,9.81
36037,4ce4bd50-4ff0-4d29-bf55-c1ecaf63ee2d,Prądnik Czerwony,RatherSafe,3,1,3,3,6.176598310974394,0,Krakow,10.010277777777778
38152,06e188f0-e33b-47c3-8813-4eb489f452da,Grzegórzki,RatherSafe,3,1,1,1,1.0856998513612541,0,Krakow,10.597777777777777
38152,06e188f0-e33b-47c3-8813-4eb489f452da,Grzegórzki,RatherSafe,3,1,2,1,0.7534566820322509,0,Krakow,10.597777777777777
38970,eba992ea-85a6-41d7-a292-f638ea521252,Nowa Huta,NotSafe,3,1,2,2,3.4027251405939003,0,Krakow,10.825
40287,086f26f9-eb19-48c3-a1c3-10b36b6b7e55,Stare Miasto,NotSafe,5,1,1,1,0.17555803522698576,0,Krakow,11.190833333333334
40295,086f26f9-eb19-48c3-a1c3-10b36b6b7e55,Stare Miasto,NotSafe,5,1,8,7,12.022088712761917,0,Krakow,11.193055555555556
40526,4aec0d65-f1a1-45dd-9f2c-8d9a5f8387a0,Czyżyny,RatherSafe,5,1,2,2,4.3352463328947115,0,Krakow,11.257222222222222
40527,4aec0d65-f1a1-45dd-9f2c-8d9a5f8387a0,Czyżyny,RatherSafe,5,1,3,1,0.23342404269539244,0,Krakow,11.2575
40556,4aec0d65-f1a1-45dd-9f2c-8d9a5f8387a0,Czyżyny,RatherSafe,5,1,4,1,2.3530224397102617,0,Krakow,11.265555555555556
41067,122142a6-3704-4a0a-90b3-db7baef68ef1,Podgórze Duchackie,NotSafe,4,1,2,2,1.639048644472451,0,Krakow,11.4075
41101,122142a6-3704-4a0a-90b3-db7baef68ef1,Podgórze Duchackie,NotSafe,4,1,3,1,1.5408875537245097,0,Krakow,11.416944444444445
41440,99161c8c-89ff-47f6-bbf8-a5330764376c,Łagiewniki-Borek Fałęcki,RatherSafe,3,1,1,1,1.3213996789690516,0,Krakow,11.511111111111111
41471,99161c8c-89ff-47f6-bbf8-a5330764376c,Łagiewniki-Borek Fałęcki,RatherSafe,3,1,2,1,2.9695604312669457,0,Krakow,11.519722222222223
41499,dc088d4a-96e2-4204-9360-a83087a0ba92,Prądnik Czerwony,RatherSafe,4,1,1,1,1.5493347013062508,0,Krakow,11.5275
41527,dc088d4a-96e2-4204-9360-a83087a0ba92,Prądnik Czerwony,RatherSafe,4,1,2,1,3.4405989026218045,0,Krakow,11.535277777777777
41846,dc088d4a-96e2-4204-9360-a83087a0ba92,Prądnik Czerwony,RatherSafe,4,3,1,1,3.54067050142799,0,Krakow,11.623888888888889
42536,0d07d279-6277-432a-af98-3e45f866f3df,Nowa Huta,NotSafe,6,1,1,1,0.9633934725477945,0,Krakow,11.815555555555555
42669,dc077165-4138-4808-b417-955620033188,Bieńczyce,RatherSafe,5,1,1,1,1.6727902323984418,0,Krakow,11.8525
42670,dc077165-4138-4808-b417-955620033188,Bieńczyce,RatherSafe,5,1,2,1,3.297656611988578,0,Krakow,11.852777777777778
42724,373f53c7-b34a-46e6-a502-fc2be8dd22ee,Podgórze Duchackie,NotSafe,2,1,1,1,2.768610710414492,0,Krakow,11.867777777777778
43016,dc077165-4138-4808-b417-955620033188,Bieńczyce,RatherSafe,5,3,1,1,3.3647131487025375,0,Krakow,11.948888888888888
43049,dc077165-4138-4808-b417-955620033188,Bieńczyce,RatherSafe,5,3,2,1,3.577116017502953,0,Krakow,11.958055555555555
43570,0d07d279-6277-432a-af98-3e45f866f3df,Nowa Huta,NotSafe,6,2,1,1,3.370659477129872,0,Krakow,12.102777777777778
45140,0d07d279-6277-432a-af98-3e45f866f3df,Nowa Huta,NotSafe,6,3,1,1,3.4252367121687324,0,Krakow,12.53888888888889
45459,5676ac2e-e001-41ff-a746-d0212b446614,Zwierzyniec,RatherSafe,2,1,1,1,3.5812243237847095,0,Krakow,12.6275
45718,3fa6a294-66c2-4c55-8bc9-125c2eb31c6c,Zwierzyniec,RatherSafe,3,1,1,1,3.491164607606596,0,Krakow,12.699444444444444
45772,3fa6a294-66c2-4c55-8bc9-125c2eb31c6c,Zwierzyniec,RatherSafe,3,1,2,1,2.7885340363913427,0,Krakow,12.714444444444444
46195,67a569fd-3bcc-4c85-8894-469a4083b966,Bronowice,NotSafe,3,1,3,3,10.068239441773377,0,Krakow,12.831944444444444
47756,4bdb9f5f-395d-4702-aed2-a77de43ca03d,Podgórze Duchackie,NotSafe,3,1,3,3,2.076838583432056,0,Krakow,13.265555555555556
48852,d048f4dc-e185-4e96-983c-5f3e2919947a,Prądnik Biały,Safe,3,1,1,1,3.4220095708006877,0,Krakow,13.57
49038,d048f4dc-e185-4e96-983c-5f3e2919947a,Prądnik Biały,Safe,3,1,2,1,3.495849897060635,0,Krakow,13.621666666666666
50260,e6cb22c7-cf0e-4e73-b5ca-b66e2facbef2,Prądnik Czerwony,RatherSafe,5,1,2,2,3.522127306811915,0,Krakow,13.96111111111111
50296,e6cb22c7-cf0e-4e73-b5ca-b66e2facbef2,Prądnik Czerwony,RatherSafe,5,1,8,6,17.265047508019745,0,Krakow,13.971111111111112
52065,01ae6a96-56f6-4bdf-a99b-4e748ef84920,Zwierzyniec,RatherSafe,2,1,3,3,5.795875981067505,0,Krakow,14.4625
52685,4a6647b5-b57d-462f-8ae0-eb4f46059bd8,Mistrzejowice,RatherSafe,2,1,1,1,1.522022796282356,0,Krakow,14.634722222222223
53826,83671684-25c4-41cd-b245-337f5225148f,Bronowice,NotSafe,4,1,3,3,9.653922294052448,0,Krakow,14.951666666666666
56123,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,1,1,1.4641003447950003,0,Krakow,15.589722222222223
56125,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,3,2,5.987523936955927,0,Krakow,15.590277777777779
56209,66efe481-4adc-40a6-a8df-bcecad3d1a8e,Mistrzejowice,RatherSafe,5,1,4,1,3.3974883645045084,0,Krakow,15.613611111111112
58982,4452a90b-ca4e-46fa-899e-7556b687d902,Bieżanów-Prokocim,Safe,3,1,2,2,1.5905569796919516,1,Krakow,16.38388888888889
59593,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,6,1,3,3,5.917658239675595,1,Krakow,16.55361111111111
59624,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,6,1,5,2,6.390624974970859,1,Krakow,16.56222222222222
60977,19d2547c-861a-474e-bffa-23f451e3cdb6,Grzegórzki,RatherSafe,2,1,1,1,0.6184534215232201,1,Krakow,16.938055555555554
62198,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,3,1,3,3,1.8482242808623373,1,Krakow,17.27722222222222
62535,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,1,1,1,1.5107647892745022,1,Krakow,17.370833333333334
62537,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,1,2,1,2.8500825401280783,1,Krakow,17.371388888888887
62860,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,3,1,1,3.5468968574846396,1,Krakow,17.461111111111112
62861,1f23d8bc-e070-480c-915f-8da3eb664137,Nowa Huta,NotSafe,2,1,1,1,2.7262275555223603,1,Krakow,17.461388888888887
62894,d94522c9-214e-4136-b896-c523a535ef08,Dębniki,NotSafe,5,3,3,2,7.0408166222479265,1,Krakow,17.470555555555556
63532,cf15fd27-be6e-406a-b8a9-21dca0a4134d,Stare Miasto,NotSafe,3,1,2,2,1.4155002710913474,1,Krakow,17.647777777777776
