"TRANSFER_TO_FIRING","INTERVENTION","RETURNING_TO_HQ","WAITING_FOR_ORDERS"
"4,2,0,0"
"4,6,2,2"
"9,7,2,2"
"4,5,9,9"
"0,1,2,2"
"0,0,6,6"
"0,0,0,0"
"0,0,0,0"
"4,4,0,0"
"0,0,4,4"
"0,0,0,0"
"0,0,0,0"
"1,1,0,0"
"2,2,1,1"
"0,0,2,2"
"0,0,0,0"
"1,1,0,0"
"0,0,1,1"
"0,0,0,0"
"0,0,0,0"
"2,2,0,0"
"0,0,2,2"
"1,1,0,0"
