"simulationTime[s]","summonedPatrols"
3600,24
7204,24
10802,27
14400,28
18000,18
21602,22
25200,21
28800,12
32400,23
36000,17
39600,24
43202,32
46800,23
50401,26
54000,20
57600,23
61201,23
64801,25
68400,28
72001,29
75600,24
79202,38
82802,44
