"amountOfInterventions","amountOfInterventionsPerPatrol","durationOfInterventions[min]","durationOfInterventionsPerPatrol[min]","amountOfFirings","amountOfFiringsPerPatrol","durationOfFirings[min]","durationOfFiringsPerPatrol[min]","amountOfPatrols"
133.0,3.325,2664.0,66.6,18.0,0.45,1155.0,28.875,40.0
143.0,3.575,2917.0,72.925,16.0,0.4,1107.0,27.675,40.0
