"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
26131,21b6da4c-f9de-4948-80a8-b90d15b2fbbf,Neukölln,Safe,"2312,160605952497"
26567,e581d3f5-7851-42a0-a080-4dc0e22a1db1,Reinickendorf,RatherSafe,"4883,355027353536"
26603,66584897-cd74-44d2-bf6d-758d852f873c,Pankow,Safe,"5781,140404726622"
26630,ee338e3b-5e0a-43c1-8820-cde23f491d0a,Charlottenburg-Wilmersdorf,RatherSafe,"1098,5747287474142"
27791,d03311f7-1fca-4cc1-b1f0-e2f8634861f5,Charlottenburg-Wilmersdorf,RatherSafe,"2523,1760159709715"
27858,10f50ffe-4450-4d81-a918-2d475a3956fe,Friedrichshain-Kreuzberg,RatherSafe,"1471,9621206878692"
28554,8707d8b9-7f04-4baa-877e-3eb26698d6ec,Treptow-Köpenick,Safe,"1461,9689787095247"
28582,915c8cea-d7cf-4302-90ae-07bcc25065d4,Reinickendorf,RatherSafe,"2343,627226514384"
28786,11c6b63a-8df2-4330-b737-f9d34d53c0dc,Pankow,Safe,"2808,8994020777645"
29284,789f4844-1ba7-43cb-8d35-7132976cd249,Steglitz-Zehlendorf,NotSafe,"4531,207102353896"
29697,f34a0356-e413-480b-90b7-ba4358daaab7,Tempelhof-Schöneberg,NotSafe,"1051,4542866194595"
29728,d43a081b-b963-4755-a92b-df2d56715a23,Pankow,Safe,"4475,336207883635"
29858,630280b3-b66b-4fe8-9774-819533078397,Friedrichshain-Kreuzberg,RatherSafe,"958,1618946500256"
29985,cd7133d0-097b-4f5a-b6b9-5ecc88f20348,Tempelhof-Schöneberg,NotSafe,"3574,516963563556"
30030,a65a3e0c-f863-45b0-baa4-ac0bb79ce471,Marzahn-Hellersdorf,NotSafe,"10121,299097784555"
30188,a691cc1d-2c19-4cb2-9f68-82ba7294e80e,Pankow,Safe,"2339,4003999854726"
30240,b90f6032-d3f8-4fb6-b146-c71d583e34bd,Neukölln,Safe,"1709,535999665158"
30451,2bff51f7-1b30-4208-93f4-408805da4702,Steglitz-Zehlendorf,NotSafe,"5004,592278784608"
30507,8f730aec-d51a-414d-86b4-4cce6b190e45,Friedrichshain-Kreuzberg,RatherSafe,"1924,3710880479755"
30594,7fabdeb0-5941-4887-9607-d22924f6684e,Spandau,NotSafe,"4746,256732462154"
30641,9e2c8ff7-f686-4225-86e8-2e1162e24b9c,Treptow-Köpenick,Safe,"3455,0831861729334"
30668,9e2c8ff7-f686-4225-86e8-2e1162e24b9c,Treptow-Köpenick,Safe,"3477,7698639319524"
30670,8bce7c27-1eef-4b03-9aa9-53fecfbe62c1,Spandau,NotSafe,"4759,495798041861"
30710,fea7ec7a-c256-407c-aa5d-ccceaa67c5b1,Spandau,NotSafe,"2522,4412083897864"
30916,7bf92598-9881-4ff3-9d07-9ca1a45e8637,Steglitz-Zehlendorf,NotSafe,"1971,8605329078257"
31002,183f936a-777a-4cb4-becf-bda366d22c9b,Tempelhof-Schöneberg,NotSafe,"690,7806280859315"
31243,5c8ec0e4-12e8-418a-8102-b2c70fa585c2,Neukölln,Safe,"5418,8567299958195"
31304,be36eb0d-7a93-4879-93ba-0b7bdb463336,Tempelhof-Schöneberg,NotSafe,"1026,1105085496845"
31454,8ab07081-29d0-41fa-a44e-176e7b9741d1,Spandau,NotSafe,"1563,2442073558743"
31506,6d4d24da-f9d4-44b7-97a6-ab0765430bd4,Charlottenburg-Wilmersdorf,RatherSafe,"1442,0550163178389"
32018,d5986d5a-0764-4d21-ae15-e35dbb309ee6,Marzahn-Hellersdorf,NotSafe,"3595,1775354053307"
32343,b81e99bd-023d-48ea-b2db-f2083cd7c55d,Charlottenburg-Wilmersdorf,RatherSafe,"2943,76384099749"
32665,ac6a6ed4-444c-402e-8e90-c01682786721,Steglitz-Zehlendorf,NotSafe,"4213,09901104883"
32929,449de526-d3b7-4a61-aecf-9492a45630cc,Tempelhof-Schöneberg,NotSafe,"1233,1052555136591"
34319,90b70e62-f9c3-4f91-9ce9-1c5b888e0dc9,Reinickendorf,RatherSafe,"2227,75672329667"
34528,8b2e5d12-d6b6-4130-b273-d2d094534218,Steglitz-Zehlendorf,NotSafe,"8434,236090594013"
34529,2ef73d3b-7aab-4c28-9925-bdc7912e899e,Pankow,Safe,"3421,011981306366"
34576,bab47dde-b892-4016-8fb5-53c8893476a1,Steglitz-Zehlendorf,NotSafe,"2129,6927494239403"
34779,c063f58d-5233-4c66-bd8e-ab043641c9cd,Reinickendorf,RatherSafe,"1288,0234835374683"
34839,0eb3bdb4-e29d-47f7-bf6b-e19e084ee171,Marzahn-Hellersdorf,NotSafe,"3430,23838669952"
34891,789b556a-b8e5-4c3f-a905-51c0528f017e,Reinickendorf,RatherSafe,"9757,324434933687"
34892,ad520068-a2d6-43f4-b70f-5588d8275454,Lichtenberg,RatherSafe,"5048,9001406752"
35130,79088931-40b0-4c41-8661-17084f6be194,Steglitz-Zehlendorf,NotSafe,"652,7834970085428"
35246,d63112b9-d81d-4829-ac45-74018b3ecacc,Lichtenberg,RatherSafe,"1261,3739239604517"
35287,691cb865-fe0f-4f6c-9455-91c45046d039,Treptow-Köpenick,Safe,"4603,177967684348"
35288,13410777-3d5a-4e63-9c29-9b3a81a4db4d,Lichtenberg,RatherSafe,"5687,836205221747"
35315,94cdc0a2-c739-4058-beed-7ca37e666c24,Tempelhof-Schöneberg,NotSafe,"1032,093037579367"
35410,076d3ad8-fc50-4e1e-a658-8581afaee4e1,Tempelhof-Schöneberg,NotSafe,"7518,157602906567"
35753,e55682a4-46fd-47fe-a81c-fee3c0d19db0,Treptow-Köpenick,Safe,"1774,1780602800152"
36008,53867184-20c9-46da-afb0-bad4fea28134,Neukölln,Safe,"2668,9086108435013"
36227,98b01131-450f-4bbb-b19f-07aa55e9fb42,Tempelhof-Schöneberg,NotSafe,"5667,698742700308"
36479,95542106-a85d-42df-887d-4790d191c962,Treptow-Köpenick,Safe,"4261,8042457596775"
36554,75dce25c-6e88-46ed-bf77-c5e4b2d06765,Lichtenberg,RatherSafe,"3349,417394264247"
36854,c43c3dc3-7c76-4967-9157-2479a1b880b9,Spandau,NotSafe,"3469,7396079384926"
36970,75dce25c-6e88-46ed-bf77-c5e4b2d06765,Lichtenberg,RatherSafe,"3448,067334599134"
37049,75dce25c-6e88-46ed-bf77-c5e4b2d06765,Lichtenberg,RatherSafe,"862,3972512166303"
37051,4ae944f3-59d0-4ba9-94e9-e8fc64e09aad,Neukölln,Safe,"5342,225593457228"
37078,6b29aad1-20d2-4d26-b553-02e4e8fc2950,Marzahn-Hellersdorf,NotSafe,"1152,2826205752249"
37303,75dce25c-6e88-46ed-bf77-c5e4b2d06765,Lichtenberg,RatherSafe,"3540,8902996165302"
37379,052e3ecf-eb1e-4de7-a604-c0d036db68b9,Neukölln,Safe,"409,32620753820476"
37380,fe4382d5-1ff4-467e-9bd8-0bf88f153bc4,Spandau,NotSafe,"1330,2275018911052"
37640,eaa9be61-ca18-4c67-914b-dab470e25e59,Spandau,NotSafe,"222,89290421381386"
37788,522ce820-083e-4b64-8d8f-8e110dd70209,Spandau,NotSafe,"5588,9891945208865"
37872,5fea4d0a-dd42-4c8c-a90f-943f1fd6026a,Tempelhof-Schöneberg,NotSafe,"3345,386448943545"
38195,9934b059-8760-42d8-8b17-bf784fdd13a6,Marzahn-Hellersdorf,NotSafe,"5780,141698899238"
