"simulationTime[s]","amountOfUsedSwat"
3603,6.0
7204,2.0
10811,12.0
14402,8.0
18000,2.0
21600,2.0
25200,4.0
28800,0.0
32400,4.0
36000,2.0
39600,4.0
43200,8.0
46800,6.0
50401,4.0
54000,0.0
57600,4.0
61200,6.0
64801,2.0
68400,4.0
72000,8.0
75602,6.0
79202,10.0
82801,12.0
