"Safe","RatherSafe","NotSafe"
"0,3,11"
"0,0,3"
"7,0,13"
"0,11,3"
"1,0,0"
"0,0,5"
"0,0,7"
"0,0,0"
"3,2,0"
"0,0,3"
"0,5,6"
"0,2,13"
"0,7,5"
"0,3,3"
"0,0,0"
"0,0,11"
"0,8,5"
"0,3,0"
"0,0,7"
"0,2,13"
"1,0,9"
"0,0,19"
"0,5,15"
