"simulationTime[s]","amountOfSolvingAmbulances"
3600,1
7205,2
10811,5
14401,5
18000,1
21601,2
25200,2
28800,0
32400,2
36003,1
39600,2
43200,2
46804,4
50400,2
54000,1
57600,2
61201,1
64802,2
68400,2
72000,5
75601,3
79202,5
82801,4
